naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
POMOČ V STREŽBI, BREZOVICA PRI LJUBLJANI,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432434,PO DOGOVORU
VZDRŽEVANJE, SLADKI VRH,9.00  ,7.74  ,False,1,PO DOGOVORU,432433,PO DOGOVORU
PROMOCIJA, POSTOJNA,7.55  ,6.50  ,False,2,AVGUST,432431,POPOLDAN
PROJEKTNO DELO, LJUBLJANA,8.30  ,7.14  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432430,DOPOLDAN
DELO V PROIZVODNJI, SLOVENSKA BISTRICA,7.21  ,6.20  ,False,1,JULIJ,432428,DOPOLDAN
ADMINISTRATIVNA DELA, BRNIK,7.50  ,6.45  ,False,1,PO DOGOVORU,432426,DOPOLDAN
KONTROLA KAKOVOSTI, SLADKI VRH,7.50  ,6.45  ,False,1,PO DOGOVORU,432425,IZMENSKO
VRTNARSKA DELA, BLED,9.74  ,8.38  ,False,2,PO DOGOVORU,432424,DOPOLDAN
POMOČ V STREŽBI, GORNJA RADGONA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432423,POPOLDAN
TEHNIČNA POMOČ, LJUBLJANA,8.60  ,7.40  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432422,DOPOLDAN
LAŽJA FIZIČNA DELA, VIŠNJA GORA,8.13  ,7.00  ,False,1,PO DOGOVORU,432421,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432420,IZMENSKO
BLAGAJNIK, LJUBLJANA CENTER,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432419,IZMENSKO
BLAGAJNIK, LJUBLJANA ZALOG,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432418,IZMENSKO
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432416,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432415,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432414,IZMENSKO
BLAGAJNIK, LJUBLJANA ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432413,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432412,IZMENSKO
PRODAJA, LJUBLJANA CENTER,11.00  ,9.47  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432411,IZMENSKO
PAKIRANJE, BOHINJSKA BISTRICA,8.50  ,7.31  ,False,1,POČITNIŠKO DELO,432410,DOPOLDAN
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432409,IZMENSKO
BLAGAJNIK, KOPER,7.69  ,6.62  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432408,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA CENTER,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432407,IZMENSKO
DELO V DELAVNICI, JAKOBSKI DOL,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432406,DOPOLDAN
POMOČ V STREŽBI, ČRNOMELJ,8.13  ,7.00  ,False,1,PO DOGOVORU,432405,PO DOGOVORU
ČIŠČENJE, MARIBOR TEZNO,7.50  ,6.45  ,False,2,PO DOGOVORU,432404,POPOLDAN
PRODAJA, LJUBLJANA BTC,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432403,IZMENSKO
DELO V DELAVNICI, SLOVENSKA BISTRICA,9.45  ,8.13  ,False,2,PO DOGOVORU,432402,DOPOLDAN
